4381
itemid	name	level	unk	price	pricec	sell	unk	unk	durtype	duration	hp	attmin	attmax	att(trans)min	att(trans)max	TransGauge	Crit	evade	spectrans	speed	transbotdef	transbotatt	transspeed	ranged	luck	unk	effect	image	description
1110330	Hazard-HexCRT(E1)	10	1	0	0	50	16777473	257	0	0	397	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	15	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110331	Hazard-HexCRT(XE1)	100	1	0	0	50	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	15	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110340	Hazard-HexCRT(E2)	10	1	0	0	50	16777473	257	0	0	397	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	16	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110341	Hazard-HexCRT(XE2)	100	1	0	0	50	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	16	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110350	Hazard-HexCRT(E3)	10	1	0	0	50	16777473	257	0	0	397	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	17	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110351	Hazard-HexCRT(XE3)	100	1	0	0	50	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	17	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110400	Crash-Bolt	15	1	380	0	44	16777473	257	0	0	429	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	18	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110401	Crash-BoltCRT(+1)	17	1	385	0	48	16777473	257	0	0	429	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	18	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110402	Crash-BoltCRT(+2)	18	1	525	0	66	16777473	257	0	0	429	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	18	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110403	Crash-BoltCRT(+3)	20	1	700	0	88	16777473	257	0	0	429	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	18	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110404	Crash-BoltCRT(XMOG)	100	1	700	0	88	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	18	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110430	Crash-BoltCRT(E1)	20	1	0	0	88	16777473	257	0	0	429	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	21	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110431	Crash-BoltCRT(XE1)	100	1	0	0	88	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	21	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110440	Crash-BoltCRT(E2)	20	1	0	0	88	16777473	257	0	0	429	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	22	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110441	Crash-BoltCRT(XE2)	100	1	0	0	88	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	22	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110450	Crash-BoltCRT(E3)	20	1	0	0	88	16777473	257	0	0	429	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	23	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110451	Crash-BoltCRT(XE3)	100	1	0	0	88	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	23	The heavy-duty Crash-Bolt can create tremors. Stabilizers in this part help control this behemoth.
1110500	LykanLauncher	25	1	490	0	56	16777473	257	0	0	440	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	24	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110501	LykanLauncherCRT(+1)	27	1	495	0	62	16777473	257	0	0	440	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	24	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110502	LykanLauncherCRT(+2)	28	1	625	0	78	16777473	257	0	0	440	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	24	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110503	LykanLauncherCRT(+3)	30	1	900	0	113	16777473	257	0	0	440	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	24	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110504	LykanLauncherCRT(XMOG)	100	1	900	0	113	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	24	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110530	LykanLauncherCRT(E1)	30	1	0	0	113	16777473	257	0	0	440	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	27	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110531	LykanLauncherCRT(XE1)	100	1	0	0	113	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	27	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110540	LykanLauncherCRT(E2)	30	1	0	0	113	16777473	257	0	0	440	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	28	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110541	LykanLauncherCRT(XE2)	100	1	0	0	113	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	28	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110550	LykanLauncherCRT(E3)	30	1	0	0	113	16777473	257	0	0	440	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	29	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110551	LykanLauncherCRT(XE3)	100	1	0	0	113	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	29	The launchers on this upgrade can easily disintegrate weak viruses. The eyes are for targeting.
1110600	Hyperbore	35	1	590	0	69	16777473	257	0	0	660	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	30	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110601	HyperboreCRT(+1)	37	1	605	0	76	16777473	257	0	0	660	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	30	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110602	HyperboreCRT(+2)	38	1	825	0	103	16777473	257	0	0	660	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	30	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110603	HyperboreCRT(+3)	40	1	1100	0	138	16777473	257	0	0	660	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	30	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110604	HyperboreCRT(XMOG)	100	1	1100	0	138	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	30	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110630	HyperboreCRT(E1)	40	1	0	0	138	16777473	257	0	0	660	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	33	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110631	HyperboreCRT(XE1)	100	1	0	0	138	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	33	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110640	HyperboreCRT(E2)	40	1	0	0	138	16777473	257	0	0	660	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	34	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110641	HyperboreCRT(XE2)	100	1	0	0	138	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	34	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110650	HyperboreCRT(E3)	40	1	0	0	138	16777473	257	0	0	660	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	35	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110651	HyperboreCRT(XE3)	100	1	0	0	138	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	35	Borrowed from mechanized work BOTS, this head piece is built extra tough.
1110700	Firewall	45	1	750	0	88	16777473	257	0	0	924	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	36	Heat is at the core of this set with the head piece channeling the most
1110701	FirewallCRT(+1)	47	1	770	0	96	16777473	257	0	0	924	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	36	Heat is at the core of this set with the head piece channeling the most
1110702	FirewallCRT(+2)	48	1	1050	0	131	16777473	257	0	0	924	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	36	Heat is at the core of this set with the head piece channeling the most
1110703	FirewallCRT(+3)	50	1	1400	0	175	16777473	257	0	0	924	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	36	Heat is at the core of this set with the head piece channeling the most
1110704	FirewallCRT(XMOG)	100	1	1400	0	175	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	36	Heat is at the core of this set with the head piece channeling the most
1110730	FirewallCRT(E1)	50	1	0	0	175	16777473	257	0	0	924	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	39	Heat is at the core of this set with the head piece channeling the most
1110731	FirewallCRT(XE1)	100	1	0	0	175	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	39	Heat is at the core of this set with the head piece channeling the most
1110740	FirewallCRT(E2)	50	1	0	0	175	16777473	257	0	0	924	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	40	Heat is at the core of this set with the head piece channeling the most
1110741	FirewallCRT(XE2)	100	1	0	0	175	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	40	Heat is at the core of this set with the head piece channeling the most
1110750	FirewallCRT(E3)	50	1	0	0	175	16777473	257	0	0	924	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	41	Heat is at the core of this set with the head piece channeling the most
1110751	FirewallCRT(XE3)	100	1	0	0	175	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	41	Heat is at the core of this set with the head piece channeling the most
1110800	Blazer	55	1	850	0	100	16777473	257	0	0	1054	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	45	The sensor on this head piece's forehead finds weak points in metals
1110801	BlazerCRT(+1)	57	1	880	0	110	16777473	257	0	0	1054	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	45	The sensor on this head piece's forehead finds weak points in metals
1110802	BlazerCRT(+2)	58	1	1200	0	150	16777473	257	0	0	1054	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	45	The sensor on this head piece's forehead finds weak points in metals
1110803	BlazerCRT(+3)	60	1	1600	0	200	16777473	257	0	0	1054	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	45	The sensor on this head piece's forehead finds weak points in metals
1110804	BlazerCRT(XMOG)	100	1	1600	0	200	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	45	The sensor on this head piece's forehead finds weak points in metals
1110900	Ultrabash	65	1	1020	0	119	16777473	257	0	0	1107	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	46	The sensor on this head piece's forehead finds weak points in metals
1110901	UltrabashCRT(+1)	67	1	1045	0	131	16777473	257	0	0	1107	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	46	The head module is standard for this unit, reserving power for the arms.
1110902	UltrabashCRT(+2)	68	1	1325	0	166	16777473	257	0	0	1107	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	46	The head module is standard for this unit, reserving power for the arms.
1110903	UltrabashCRT(+3)	70	1	1900	0	238	16777473	257	0	0	1107	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	46	The head module is standard for this unit, reserving power for the arms.
1110904	UltrabashCRT(XMOG)	100	1	1900	0	238	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	46	The head module is standard for this unit, reserving power for the arms.
1111000	CGS	75	1	1120	0	131	16777473	257	0	0	1186	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	47	Taken from the best of all prior assemblies, this head unit is the best of the best
1111001	CGS-CRT(+1)	77	1	1155	0	144	16777473	257	0	0	1186	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	47	Taken from the best of all prior assemblies, this head unit is the best of the best
1111002	CGS-CRT(+2)	78	1	1575	0	197	16777473	257	0	0	1186	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	47	Taken from the best of all prior assemblies, this head unit is the best of the best
1111003	CGS-CRT(+3)	80	1	2100	0	263	16777473	257	0	0	1186	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	47	Taken from the best of all prior assemblies, this head unit is the best of the best
1111004	CGS-CRT(XMOG)	100	1	2100	0	263	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	47	Taken from the best of all prior assemblies, this head unit is the best of the best
1111100	Plasmodium	85	1	1350	0	150	16777473	257	0	0	1458	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	48	Stolen from a high-security facility, these untested parts are considered extremely dangerous.
1111101	PlasmodiumCRT(+1)	87	1	1320	0	165	16777473	257	0	0	1458	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	48	Stolen from a high-security facility, these untested parts are considered extremely dangerous.
1111102	PlasmodiumCRT(+2)	88	1	1800	0	225	16777473	257	0	0	1458	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	48	Stolen from a high-security facility, these untested parts are considered extremely dangerous.
1111103	PlasmodiumCRT(+3)	90	1	2400	0	300	16777473	257	0	0	1458	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	0	48	Stolen from a high-security facility, these untested parts are considered extremely dangerous.
1111104	PlasmodiumCRT(XMOG)	100	1	2400	0	300	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	48	Stolen from a high-security facility, these untested parts are considered extremely dangerous.
1111200	SantaHelmet	1	1	10	0	1	16777473	257	0	10	196	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	43	Ho Ho Ho!  Spread holiday cheer with this jolly head part.
1111400	Vectorium	95	1	1500	0	169	16777473	257	0	0	1660	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	49	The highest tier of BOT equipment for the vanguards of Cyberspace.
1111401	VectoriumCRT(+1)	97	1	1485	0	186	16777473	257	0	0	1660	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	49	The highest tier of BOT equipment for the vanguards of Cyberspace.
1111402	VectoriumCRT(+2)	98	1	2025	0	253	16777473	257	0	0	1660	0	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	49	The highest tier of BOT equipment for the vanguards of Cyberspace.
1111403	VectoriumCRT(+3)	100	1	2700	0	338	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	49	The highest tier of BOT equipment for the vanguards of Cyberspace.
1111404	VectoriumCRT(XMOG)	100	1	2700	0	338	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	49	The highest tier of BOT equipment for the vanguards of Cyberspace.
1112700	Hackenn-Plating	80	1	0	0	0	16777473	257	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	;
1112701	Hackenn-PlatingCRT(+1)	82	1	0	0	100	16777473	257	0	0	1660	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	42	Corrupted Patch plating from the depths of the Hackenn ruins.
1112702	Hackenn-PlatingCRT(+2)	86	1	0	0	200	16777473	257	0	0	1660	0	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	42	Corrupted Patch plating from the depths of the Hackenn ruins.
1112703	Hackenn-PlatingCRT(+3)	90	1	0	0	400	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	42	Corrupted Patch plating from the depths of the Hackenn ruins.
1112704	Hackenn-PlatingCRT(XMOG)	90	1	0	0	400	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	42	Corrupted Patch plating from the depths of the Hackenn ruins.
1112900	FrostbiteColossus	100	1	100	0	172	16777473	257	0	0	1660	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	51	;
1112901	FrostbiteColossusCRT(+1)	100	1	110	0	190	16777473	257	0	0	1660	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	51	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1112902	FrostbiteColossusCRT(+2)	100	1	150	0	264	16777473	257	0	0	1660	0	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	51	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1112903	FrostbiteColossusCRT(+3)	100	1	200	0	350	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	51	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1112904	FrostbiteColossusCRT(XMOG)	100	1	200	0	350	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	51	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1113000	Bronze Battlemesh(Lv1)	1	1	0	0	45	16777473	257	0	0	265	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	52	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113001	Bronze Battlemesh(Lv25)	25	1	0	0	45	16777473	257	0	0	440	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	52	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113002	Bronze Battlemesh(Lv60)	60	1	0	0	45	16777473	257	0	0	1054	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	52	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113003	Bronze Battlemesh(Lv90)	90	1	0	0	45	16777473	257	0	0	1458	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	52	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113010	Silver Battlemesh(Lv1)	1	1	0	0	150	16777473	257	0	0	397	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	53	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113011	Silver Battlemesh(Lv25)	25	1	0	0	150	16777473	257	0	0	660	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	53	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113012	Silver Battlemesh(Lv60)	60	1	0	0	150	16777473	257	0	0	1107	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	53	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113013	Silver Battlemesh(Lv90)	90	1	0	0	150	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	53	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113020	Gold Battlemesh(Lv1)	1	1	0	0	1000	16777473	257	0	0	397	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	54	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113021	Gold Battlemesh(Lv25)	25	1	0	0	1000	16777473	257	0	0	660	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	54	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113022	Gold Battlemesh(Lv60)	60	1	0	0	1000	16777473	257	0	0	1107	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	54	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113023	Gold Battlemesh(Lv90)	90	1	0	0	1000	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	54	Mesh earned in skill-based combat worn by the warriors of Cyberspace.
1113100	InfernoPatchHead	100	1	100	0	172	16777473	257	0	0	1660	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	55	;
1113101	InfernoPatchHeadCRT(+1)	100	1	110	0	190	16777473	257	0	0	1660	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	55	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1113102	InfernoPatchHeadCRT(+2)	100	1	150	0	264	16777473	257	0	0	1660	0	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	55	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1113103	InfernoPatchHeadCRT(+3)	100	1	200	0	350	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	55	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1113104	InfernoPatchHeadCRT(XMOG)	100	1	200	0	350	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	55	Terrifyingly heavy armor seemingly designed to gracefully break through titanium.
1113200	Gladiator	100	1	100	0	172	16777473	257	0	0	1660	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	56	;
1113201	GladiatorCRT(+1)	100	1	110	0	190	16777473	257	0	0	1660	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	56	Earned through proven valor in the Survival Simulator.
